first.name,gender,conf,num.samples
aaron,male,1.00,2299.0
adam,male,1.00,3963.0
adarsh,male,1.00,14.0
admin,None,0.0,0.0
administration,None,0.0,0.0
adnan,male,1.00,267.0
adrial,female,1.00,1.0
adriana,female,1.00,1488.0
adriane,female,0.98,60.0
adrianne,female,1.00,37.0
aftab,male,1.00,36.0
agatha,female,1.00,47.0
aimee,female,1.00,621.0
airam,female,0.79,19.0
alan,male,1.00,2079.0
albert,male,0.99,723.0
alberto,male,1.00,1530.0
aleck,male,1.00,1.0
alejandra,female,0.99,1418.0
alex,male,0.87,5856.0
alexandra,female,1.00,1723.0
alfred,male,1.00,230.0
alhamd,None,0.0,0.0
alice,female,1.00,1414.0
alicia,female,0.99,1563.0
alisa,female,0.98,186.0
alisha,female,1.00,263.0
alison,female,0.99,1288.0
allan,male,1.00,590.0
allison,female,1.00,1033.0
allyson,female,1.00,158.0
alma,female,0.99,364.0
alumni,None,0.0,0.0
alyse,female,1.00,42.0
amanda,female,1.00,4907.0
amber,female,1.00,1725.0
amelia,female,1.00,371.0
ami,female,0.86,122.0
amita,female,1.00,51.0
amitava,male,1.00,8.0
amr,male,0.99,312.0
amy,female,0.99,4334.0
andrea,female,0.79,5812.0
andreas,male,1.00,1021.0
andrew,male,1.00,5168.0
andria,female,0.94,51.0
andy,male,0.95,3139.0
aneela,female,1.00,2.0
angel,male,0.61,1668.0
angela,female,1.00,3511.0
angelina,female,0.99,198.0
angelo,male,1.00,539.0
angie,female,1.00,1495.0
anil,male,0.99,274.0
anita,female,1.00,1519.0
anjam,None,0.0,0.0
ankush,male,1.00,30.0
ann,female,0.99,1818.0
anna,female,1.00,4755.0
anne,female,1.00,2461.0
annemarie,female,1.00,134.0
announcement,None,0.0,0.0
announcements,None,0.0,0.0
anthony,male,1.00,3029.0
antoinette,female,1.00,144.0
anwar,male,0.95,92.0
aparna,female,1.00,38.0
april,female,1.00,1076.0
araceli,female,1.00,126.0
arfan,male,1.00,3.0
arnie,male,0.96,71.0
arnold,male,0.98,188.0
arvel,None,0.0,0.0
ashley,female,0.90,3897.0
ashu,female,0.75,28.0
audrey,female,1.00,1057.0
ava,female,0.99,92.0
avril,female,1.00,80.0
awais,male,1.00,16.0
ayesha,female,0.96,153.0
ban,female,0.55,11.0
barbara,female,1.00,2843.0
barry,male,0.98,635.0
bart,male,0.99,242.0
barton,male,0.88,8.0
becky,female,1.00,1447.0
ben,male,0.99,3363.0
benjamin,male,1.00,1475.0
bernadette,female,1.00,301.0
bernice,female,1.00,93.0
bert,male,0.96,135.0
beth,female,1.00,1541.0
beverley,female,1.00,185.0
beverly,female,0.99,385.0
bilal,male,0.99,376.0
biliana,female,1.00,2.0
bill,male,1.00,1812.0
billy,male,0.98,913.0
bjorn,male,1.00,248.0
blair,male,0.67,236.0
bob,male,0.98,1593.0
bobbi,female,1.00,109.0
bobbie,female,0.90,151.0
bobette,female,1.00,1.0
body,None,0.0,0.0
bonnie,female,0.99,784.0
brad,male,0.99,1286.0
bradford,male,1.00,38.0
bradley,male,1.00,394.0
brandee,female,1.00,14.0
brandon,male,1.00,1869.0
brant,male,1.00,19.0
brenda,female,0.99,1816.0
brendan,male,1.00,517.0
brenna,female,0.97,69.0
brent,male,1.00,595.0
brett,male,0.99,976.0
brian,male,1.00,4600.0
briant,male,1.00,4.0
bridgette,female,1.00,99.0
britt,female,0.93,163.0
brooklyn,female,0.74,39.0
bruce,male,1.00,800.0
bruno,male,1.00,926.0
bryan,male,1.00,1311.0
bryant,male,0.99,95.0
bryce,male,0.98,214.0
buy,None,0.0,0.0
calvin,male,0.99,298.0
camille,female,0.94,663.0
candace,female,1.00,313.0
