first.name,gender,conf,num.samples
lex,male,0.82,89.0
lexi,female,0.99,130.0
lifeminders,None,0.0,0.0
lillian,female,0.99,168.0
limor,female,0.97,29.0
linda,female,1.00,4323.0
lindon,male,1.00,5.0
lindsay,female,0.95,1081.0
lindy,female,0.99,70.0
lisa,female,1.00,6395.0
liz,female,1.00,1696.0
lizzette,female,1.00,30.0
lloyd,male,0.99,159.0
lola,female,0.98,338.0
lon,male,0.94,16.0
london,male,0.67,43.0
lora,female,1.00,160.0
loretta,female,1.00,201.0
lori,female,1.00,1294.0
lorie,female,1.00,72.0
lorna,female,1.00,328.0
lorraine,female,1.00,657.0
louis,male,0.99,654.0
louise,female,1.00,1791.0
luchas,None,0.0,0.0
lucy,female,0.97,1403.0
luis,male,1.00,4053.0
luiz,male,0.99,177.0
lydecker,None,0.0,0.0
lydia,female,1.00,541.0
lynda,female,1.00,432.0
lynn,female,0.96,1144.0
lynne,female,0.98,504.0
lynnette,female,0.98,65.0
lysa,female,1.00,15.0
madeleine,female,0.99,248.0
madhup,male,1.00,1.0
magdelena,female,1.00,1.0
maggie,female,1.00,886.0
mahesh,male,1.00,99.0
majed,male,1.00,57.0
management,None,0.0,0.0
mandy,female,0.99,1085.0
mansoor,male,1.00,51.0
mara,female,0.96,340.0
marc,male,1.00,1555.0
marcello,male,1.00,190.0
marchris,None,0.0,0.0
marci,female,0.96,121.0
marcia,female,1.00,487.0
marcie,female,1.00,96.0
marcus,male,1.00,970.0
margaret,female,0.98,1101.0
margie,female,1.00,203.0
margo,female,0.96,95.0
mari,female,0.99,636.0
maria,female,0.99,8467.0
marianne,female,0.99,812.0
maribel,female,1.00,402.0
marie,female,0.99,2299.0
mariella,female,1.00,97.0
marilyn,female,1.00,718.0
mario,male,0.99,2056.0
marion,female,0.97,783.0
maritta,female,1.00,5.0
mark,male,1.00,6178.0
marla,female,1.00,142.0
marlene,female,1.00,552.0
marnie,female,1.00,70.0
marshall,male,0.99,167.0
martha,female,0.99,1169.0
martin,male,1.00,3568.0
marty,male,0.83,226.0
mary,female,1.00,4440.0
maryhelen,None,0.0,0.0
massimo,male,1.00,492.0
master,male,0.82,11.0
mathew,male,0.99,297.0
matt,male,1.00,4915.0
matthew,male,1.00,3338.0
matthias,male,1.00,257.0
maureen,female,1.00,706.0
max,male,0.98,1140.0
maxine,female,1.00,181.0
mechelle,female,1.00,15.0
meg,female,0.99,304.0
megan,female,1.00,2639.0
meiling,female,1.00,15.0
melanie,female,1.00,2147.0
melba,female,1.00,23.0
melinda,female,1.00,429.0
melissa,female,1.00,4541.0
mercy,female,1.00,85.0
meredith,female,1.00,436.0
mery,female,1.00,123.0
michael,male,1.00,11160.0
michel,male,0.96,729.0
michele,female,0.74,1564.0
michelle,female,1.00,5658.0
miguel,male,1.00,2065.0
mika,male,0.51,182.0
mike,male,1.00,5595.0
miki,female,0.76,132.0
millie,female,1.00,102.0
min,female,0.80,127.0
minako,female,1.00,14.0
mind s,None,0.0,0.0
miranda,female,0.99,412.0
misha,female,0.70,53.0
missy,female,1.00,268.0
misti,female,1.00,30.0
mitch,male,0.93,358.0
mitchell,male,0.99,345.0
miyung,None,0.0,0.0
moazzam,male,1.00,22.0
mog,male,1.00,1.0
mollie,female,1.00,98.0
molly,female,0.99,780.0
mona,female,1.00,520.0
monica,female,1.00,2920.0
monika,female,1.00,618.0
monique,female,1.00,734.0
monte,male,0.84,49.0
morela,female,1.00,4.0
morgan,female,0.64,847.0
morris,male,1.00,49.0
munder,None,0.0,0.0
mungo,male,1.00,2.0
murray,male,0.96,72.0
nadine,female,1.00,672.0
nailia,None,0.0,0.0
nancy,female,1.00,2716.0
naomi,female,0.99,498.0
narsimha,None,0.0,0.0
natalie,female,1.00,2033.0
naveen,male,0.97,141.0
neal,male,1.00,210.0
ned,male,0.96,73.0
neil,male,1.00,1036.0
nell,female,0.97,30.0
nella,female,1.00,73.0
nelson,male,0.99,609.0
nicholas,male,1.00,1176.0
nick,male,0.99,3326.0
nicki,female,0.96,185.0
nicola,female,0.71,1226.0
nicole,female,1.00,4042.0
nidia,female,0.99,89.0
nikita,female,0.85,124.0
nina,female,0.99,1434.0
nita,female,0.99,130.0
noel,male,0.83,332.0
nony,female,1.00,5.0
nora,female,1.00,549.0
norma,female,1.00,548.0
norman,male,1.00,243.0
notification,None,0.0,0.0
notifications,None,0.0,0.0
nytasha,None,0.0,0.0
o neal,None,0.0,0.0
office,None,0.0,0.0
online,None,0.0,0.0
ora,female,0.82,11.0
orlando,male,0.99,364.0
oscar,male,0.99,1650.0
outlook,None,0.0,0.0
pablo,male,1.00,1653.0
paige,female,1.00,623.0
pallavi,female,1.00,71.0
pam,female,1.00,1061.0
pamela,female,1.00,1518.0
pat,female,0.60,1242.0
patrice,male,0.65,245.0
patricia,female,1.00,3491.0
patrick,male,1.00,2877.0
patti,female,1.00,365.0
paul,male,1.00,5931.0
paula,female,0.99,2298.0
paulette,female,1.00,169.0
paulo,male,1.00,454.0
payables,None,0.0,0.0
payroll,None,0.0,0.0
peggy,female,1.00,639.0
penny,female,0.99,534.0
per,male,0.98,248.0
perry,male,0.94,154.0
pete,male,1.00,667.0
peter,male,1.00,4373.0
phil,male,0.99,1012.0
philip,male,1.00,1097.0
philippe,male,0.99,605.0
phillip,male,1.00,463.0
pierre,male,0.99,852.0
pilar,female,1.00,443.0
pinnamaneni,None,0.0,0.0
pinto,male,0.75,4.0
piper,female,0.81,21.0
platter,None,0.0,0.0
press,male,1.00,1.0
priscilla,female,1.00,536.0
public,None,0.0,0.0
punit,male,1.00,13.0
rachel,female,1.00,4021.0
rae,female,0.94,152.0
raetta,None,0.0,0.0
ragan,female,1.00,6.0
rahil,male,0.92,12.0
rahul,male,1.00,397.0
raimund,male,1.00,6.0
rajesh,male,1.00,269.0
rajneesh,male,1.00,12.0
rakesh,male,1.00,191.0
rakhi,female,1.00,11.0
ramanarao,None,0.0,0.0
ramesh,male,1.00,146.0
ramona,female,1.00,212.0
ranabir,None,0.0,0.0
randal,male,0.97,31.0
randall,male,0.99,176.0
randy,male,0.98,1013.0
raquel,female,1.00,878.0
raul,male,1.00,1038.0
ravi,male,0.98,356.0
ray,male,0.98,975.0
raymond,male,1.00,770.0
reagan,female,0.77,44.0
rebecca,female,1.00,3188.0
reese,male,0.64,53.0
regina,female,1.00,498.0
reginald,male,0.99,91.0
registrar,None,0.0,0.0
remi,male,0.93,180.0
renata,female,0.99,342.0
resources,None,0.0,0.0
rex,male,1.00,146.0
reyna,female,1.00,104.0
rhonda,female,1.00,692.0
ricardo,male,1.00,1916.0
rich,male,1.00,510.0
richard,male,1.00,4381.0
rick,male,1.00,1255.0
ricki,male,0.60,35.0
rika,female,0.96,53.0
rishi,male,1.00,108.0
rita,female,1.00,1097.0
rob,male,0.99,2262.0
robbi,female,0.75,12.0
robert,male,1.00,5245.0
robin,female,0.59,1628.0
robyn,female,0.97,641.0
rocky,male,0.97,132.0
rod,male,1.00,191.0
roderick,male,1.00,76.0
rodney,male,1.00,319.0
roger,male,1.00,1220.0
rogers,male,1.00,21.0
ron,male,0.98,1014.0
ronald,male,1.00,755.0
ronnie,male,0.90,393.0
rory,male,0.94,226.0
rosalee,female,1.00,5.0
rosanna,female,0.99,161.0
roseann,female,1.00,35.0
rosemary,female,1.00,316.0
ross,male,0.95,692.0
rousseau,male,1.00,10.0
roxanne,female,1.00,294.0
roy,male,0.99,651.0
rubena,female,1.00,1.0
ruby,female,0.97,388.0
rudwell,None,0.0,0.0
rufino,male,1.00,8.0
rumaldo,None,0.0,0.0
russ,male,1.00,246.0
russell,male,1.00,513.0
rusty,male,0.99,146.0
ruth,female,1.00,1344.0
ruthann,female,1.00,20.0
ryan,male,0.99,4755.0
sabrae,None,0.0,0.0
sachin,male,1.00,201.0
sager,None,0.0,0.0
sally,female,0.99,1138.0
samantha,female,1.00,2438.0
sami,male,0.81,485.0
samuel,male,1.00,1411.0
sandeep,male,0.89,272.0
sandi,female,0.93,236.0
sandra,female,1.00,4110.0
sandy,female,0.91,1347.0
sanjay,male,1.00,212.0
sanjeev,male,1.00,125.0
santiago,male,1.00,567.0
sap,female,0.67,3.0
sara,female,0.99,4441.0
sarabeth,female,1.00,4.0
sarah-joy,None,0.0,0.0
sarah,female,1.00,8371.0
sarita,female,1.00,126.0
sasha,female,0.88,293.0
savita,female,1.00,31.0
schwabalerts,None,0.0,0.0
scot,male,1.00,44.0
scott,male,1.00,3450.0
seabron,None,0.0,0.0
sean,male,1.00,2515.0
selma,female,1.00,195.0
serena,female,0.99,455.0
sergio,male,1.00,1854.0
shahnaz,female,1.00,8.0
shalesh,None,0.0,0.0
shanna,female,0.99,143.0
shannon,female,0.93,1799.0
sharen,female,1.00,18.0
shari,female,1.00,220.0
sharon,female,0.99,2760.0
sharonda,female,1.00,10.0
sharron,female,0.98,83.0
shauncy,None,0.0,0.0
shawn,male,0.90,1059.0
shawna,female,1.00,310.0
sheetal,female,0.97,65.0
sheila,female,1.00,923.0
shelley,female,1.00,644.0
shelly,female,0.99,562.0
sheri,female,1.00,238.0
